ISBN	douban_id	5star	4star	3star	2star	1star	short_comment	long_comment	note	reading	collectiongs	wishes	url_pic	title	score	users
9787539430805	4206359	35.6%	42.2%	22.2%	0.0%	0.0%	20	0	0.0	2.0	112.0	34.0	https://img3.doubanio.com/lpic/s4108770.jpg	山猫怎么办	8.4	90
9787300047973	1138914	57.1%	30.8%	11.5%	0.6%	0.0%	38	3	0.0	2.0	220.0	253.0	https://img3.doubanio.com/lpic/s1156040.jpg	蜗牛快递	8.8	156
9787539147925	3796227	31.5%	48.1%	18.5%	1.9%	0.0%	15	2	0.0	3.0	65.0	81.0	https://img3.doubanio.com/lpic/s3843491.jpg	一个人的世界	8.6	54
9787547206966	6752991	6	0	0	1	10	6	https://img3.doubanio.com/lpic/s6993544.jpg						小精灵和太阳蛋	9.1	10
9787548905011	11524379	1	0	0	0	9	3	https://img3.doubanio.com/lpic/s24592172.jpg						口袋狗	8.0	10
9787513901338	10517016	2	0	0	0	4	0	https://img3.doubanio.com/lpic/s11291065.jpg						漫画宗师	8.7	10
9787510402388	3715410	1	0	0	1	6	13	https://img3.doubanio.com/lpic/s3778404.jpg						幼学启蒙·第三辑	8.7	10
9787500438526	1029728	44.4%	50.0%	5.6%	0.0%	0.0%	4	0	0.0	2.0	50.0	15.0	https://img3.doubanio.com/lpic/s1020941.jpg	点点鼠太太的故事	8.8	36
9780688132859	1340589	52.0%	30.0%	18.0%	0.0%	0.0%	18	12	0.0	0.0	81.0	50.0	https://img1.doubanio.com/lpic/s3400177.jpg	Little Blue and Little Yellow	8.9	50
9787539513386	3065939	1	0	0	0	16	3	https://img3.doubanio.com/lpic/s3077714.jpg						蔷薇谷	7.6	10
9787544240178	3607874	46.7%	36.5%	15.2%	1.6%	0.0%	90	3	0.0	7.0	336.0	193.0	https://img3.doubanio.com/lpic/s3779644.jpg	别让鸽子开巴士	8.5	245
9789573227458	2141621	65.5%	13.8%	20.7%	0.0%	0.0%	4	1	0.0	2.0	41.0	80.0	https://img1.doubanio.com/lpic/s2588108.jpg	瑪德琳	8.9	29
9787544244954	3910853	73.7%	21.3%	4.0%	0.7%	0.3%	106	5	0.0	26.0	388.0	283.0	https://img5.doubanio.com/lpic/s8461776.jpg	可爱的鼠小弟(全12册)	9.3	300
9787514817447	25927559	7.1%	42.9%	50.0%	0.0%	0.0%	5	1	0.0	0.0	17.0	7.0	https://img3.doubanio.com/lpic/s27326663.jpg	老糖夫妇去旅行	8.7	14
9787507722680	1161419	1	0	0	0	2	1	https://img3.doubanio.com/lpic/s9879683.jpg						郑渊洁讲故事⑥	8.6	10
9787536247260	6837945	37.7%	42.4%	18.5%	1.4%	0.0%	82	1	0.0	39.0	325.0	796.0	https://img3.doubanio.com/lpic/s6927674.jpg	突然之城	8.3	276
9787511011428	23858170	42.3%	38.5%	15.4%	3.8%	0.0%	9	0	0.0	9.0	29.0	125.0	https://img1.doubanio.com/lpic/s26334087.jpg	丰子恺诗画 许渊冲英译	8.3	26
9787564521677	26910364	88.9%	11.1%	0.0%	0.0%	0.0%	6	9	0.0	3.0	10.0	27.0	https://img3.doubanio.com/lpic/s29138592.jpg	别动！	9.5	17
9787534275180	24153057	45.5%	27.3%	27.3%	0.0%	0.0%	5	0	0.0	1.0	15.0	20.0	https://img3.doubanio.com/lpic/s26657214.jpg	老龟和破碎的真理	7.4	11
9787500117094	2055398	38.2%	47.1%	8.8%	2.9%	2.9%	5	0	0.0	6.0	57.0	42.0	https://img3.doubanio.com/lpic/s2390535.jpg	在爸爸身上蹦来跳去	8.4	34
9787505621152	10546135	33.3%	38.1%	28.6%	0.0%	0.0%	8	1	0.0	0.0	28.0	9.0	https://img3.doubanio.com/lpic/s11334961.jpg	洗澡啦	7.7	21
9789572953037	1356090	55.6%	38.1%	6.3%	0.0%	0.0%	7	2	0.0	3.0	73.0	344.0	https://img3.doubanio.com/lpic/s1384251.jpg	芭芭亞嘎	9.0	63
9787201111469	26969889	47.6%	19.0%	33.3%	0.0%	0.0%	9	2	0.0	1.0	20.0	130.0	https://img3.doubanio.com/lpic/s29331585.jpg	生而为猫挺好的	8.2	21
9787532470822	1896552	73.0%	21.6%	5.4%	0.0%	0.0%	26	1	0.0	2.0	93.0	55.0	https://img1.doubanio.com/lpic/s2836757.jpg	闪亮的萤火虫-著名儿童文学作家秦文君开山力作精选	9.3	74
9787535489081	26830134	25.2%	43.3%	28.6%	2.4%	0.5%	304	5	0.0	37.0	837.0	411.0	https://img3.doubanio.com/lpic/s29053401.jpg	就喜欢你看不惯我又干不掉我的样子2	7.7	779
9787535053039	21364532	63.2%	26.3%	10.5%	0.0%	0.0%	8	0	0.0	0.0	33.0	12.0	https://img3.doubanio.com/lpic/s25683384.jpg	小兔汤姆系列（第四辑）	8.1	19
9787200029857	1022672	45.2%	39.9%	15.0%	0.0%	0.0%	78	0	0.0	4.0	546.0	43.0	https://img1.doubanio.com/lpic/s1015598.jpg	杜立德医生	8.6	414
9787533767914	26663143	3	2	0	0	4	15	https://img1.doubanio.com/lpic/s28338808.jpg						身边的科学真好玩 跳舞的小火苗	8.6	10
9787539465876	25815846	54.3%	21.0%	22.2%	1.2%	1.2%	28	2	0.0	17.0	94.0	320.0	https://img5.doubanio.com/lpic/s27206636.jpg	治愈系的水彩慢生活	8.3	81
9787544242608	3332655	29.2%	30.8%	30.8%	9.2%	0.0%	21	0	0.0	1.0	90.0	95.0	https://img1.doubanio.com/lpic/s3399939.jpg	木匠和鬼六	7.5	65
9787533928896	3919418	31.7%	47.6%	20.6%	0.0%	0.0%	22	0	0.0	22.0	73.0	14.0	https://img3.doubanio.com/lpic/s6056995.jpg	丰子恺散文	8.1	63
9789575880187	6041914	54.1%	36.7%	9.2%	0.0%	0.0%	35	2	0.0	4.0	136.0	94.0	https://img1.doubanio.com/lpic/s6892857.jpg	第一次上街买东西	8.8	98
9787530739501	2013357	43.1%	41.2%	15.7%	0.0%	0.0%	16	1	0.0	9.0	61.0	80.0	https://img1.doubanio.com/lpic/s5808789.jpg	呐喊红宝石	8.5	51
9787532526109	1012288	25.0%	52.3%	18.2%	4.5%	0.0%	8	0	0.0	8.0	70.0	95.0	https://img3.doubanio.com/lpic/s1950484.jpg	西洋美术史	7.9	44
9787515339849	26814115	2	0	0	1	7	26	https://img3.doubanio.com/lpic/s28798752.jpg						国际插画大师惠特拉奇的动物绘本	8.1	10
9787553711249	24738497	1	0	0	0	3	1	https://img3.doubanio.com/lpic/s26685492.jpg						我是失物招领员	8.1	10
9787229104412	26639240	90.9%	9.1%	0.0%	0.0%	0.0%	6	2	0.0	2.0	9.0	6.0	https://img5.doubanio.com/lpic/s28314346.jpg	可怕的星期二	9.3	11
9787514506105	25786368	44.7%	35.2%	16.4%	1.9%	1.9%	63	0	0.0	29.0	168.0	276.0	https://img3.doubanio.com/lpic/s27169671.jpg	甄嬛传叙花列1	8.0	158
9787530601815	2137789	55.6%	33.3%	11.1%	0.0%	0.0%	5	1	0.0	1.0	25.0	49.0	https://img1.doubanio.com/lpic/s2579167.jpg	你不可改变我	8.0	18
9787540517939	1017112	46.2%	48.7%	2.6%	2.6%	0.0%	5	0	0.0	2.0	50.0	26.0	https://img3.doubanio.com/lpic/s1011544.jpg	巨人的花园	8.8	39
9787543468849	3224618	50.2%	38.3%	11.5%	0.0%	0.0%	124	10	0.0	17.0	719.0	350.0	https://img3.doubanio.com/lpic/s3272505.jpg	和甘伯伯去游河	8.7	520
9787548051510	27003512	1	0	0	0	1	11	https://img1.doubanio.com/lpic/s29416957.jpg						咫嗅芬芳	9.0	10
9787517031383	26469245	82.2%	15.6%	1.8%	0.4%	0.0%	301	1	0.0	23.0	946.0	3414.0	https://img1.doubanio.com/lpic/s28369589.jpg	松风	9.6	833
9789572983317	1346974	62.2%	32.2%	4.4%	1.1%	0.0%	6	0	0.0	7.0	154.0	317.0	https://img3.doubanio.com/lpic/s1813854.jpg	波隆那插畫年鑑2004	8.9	90
9787550290600	26915864	2	0	0	1	2	31	https://img1.doubanio.com/lpic/s29153047.jpg						美国学前全科练习（5～6岁）	9.3	10
9787532257522	3186425	28.8%	52.8%	17.6%	0.8%	0.0%	36	3	0.0	5.0	161.0	168.0	https://img3.doubanio.com/lpic/s26560145.jpg	我讨厌书	8.2	125
9787534266744	7047309	65.1%	21.7%	9.6%	3.6%	0.0%	14	0	0.0	31.0	98.0	168.0	https://img3.doubanio.com/lpic/s26164853.jpg	查理九世9·羽蛇神的黄金眼	9.1	83
9787539772349	25875927	1	0	0	1	4	9	https://img1.doubanio.com/lpic/s27309867.jpg						走进国际安徒生奖	9.6	10
9787544247511	5329019	58.3%	36.1%	5.6%	0.0%	0.0%	19	1	0.0	3.0	107.0	7.0	https://img1.doubanio.com/lpic/s6236537.jpg	可爱的鼠小弟03-鼠小弟的又一件小背心	8.2	72
9787505613430	5375937	61.5%	26.9%	11.5%	0.0%	0.0%	23	2	0.0	10.0	63.0	156.0	https://img1.doubanio.com/lpic/s4546839.jpg	中国童谣（全八册）	8.9	52
9787537973564	26581240	77.8%	22.2%	0.0%	0.0%	0.0%	5	1	0.0	0.0	22.0	24.0	https://img1.doubanio.com/lpic/s28279688.jpg	梦幻大飞行	8.7	18
9787020032518	1086445	39.6%	50.0%	10.4%	0.0%	0.0%	29	34	0.0	4.0	119.0	83.0	https://img3.doubanio.com/lpic/s1072971.jpg	缘缘堂随笔	8.5	96
